SR. No,Ward No,Serial no.,Tree Name,Scientific Name,Latitude,Longitude,Girth (Inch),Height (Ft),Age (Years),Canopy (sq. mtr),Condition,Landmark,Concern Person,ownership,Remark
34,2,W21709528291852-akK0O,Neem Tree,Azadirachta indica,19.30122891,76.50039107,38,21.6,05_10,16.5,Good,Ward 2,Akshay Hake,Private,Good
35,2,W21709528295084-akK0O,Neem Tree,Azadirachta indica,19.30148268,76.50063381,62,35.2,05_10,27.0,Good,Ward 2,Akshay Hake,Private,Good
36,2,W21709528295624-akK0O,Neem Tree,Azadirachta indica,19.30153964,76.50064688,53,30.1,05_10,23.0,Good,Ward 2,Akshay Hake,Private,Good
37,2,W21709528334649-akK0O,Coconut Tree,Cocos nucifera,19.30176494,76.50105122,24,13.6,05_10,10.4,Good,Ward 2,Akshay Hake,Private,Good
38,2,W21709528353877-akK0O,Peepal Tree,Ficus religiosa,19.30158995,76.50138482,65,36.9,05_10,28.3,Good,Ward 2,Akshay Hake,Private,Good
39,2,W21709528364082-akK0O,Peepal Tree,Ficus religiosa,19.30130612,76.50128022,55,31.3,05_10,23.9,Good,Ward 2,Akshay Hake,Private,Good
40,2,W21709528375576-akK0O,Goolar tree,Ficus racemosa,19.30135326,76.50125373,48,27.3,05_10,20.9,Good,Ward 2,Akshay Hake,Private,Good
41,2,W21709528390404-akK0O,Neem Tree,Azadirachta indica,19.3013656,76.50121819,49,27.8,05_10,21.3,Good,Ward 2,Akshay Hake,Private,Good
42,2,W21709528391826-akK0O,Neem Tree,Azadirachta indica,19.30132478,76.50124602,43,24.4,05_10,18.7,Good,Ward 2,Akshay Hake,Private,Good
43,2,W21709528393279-akK0O,Neem Tree,Azadirachta indica,19.30131434,76.50137711,47,26.7,05_10,20.4,Good,Ward 2,Akshay Hake,Private,Good
44,2,W21709528407361-akK0O,Peepal Tree,Ficus religiosa,19.30155198,76.50121953,65,36.9,05_10,28.3,Good,Ward 2,Akshay Hake,Private,Good
45,2,W21709528408830-akK0O,Peepal Tree,Ficus religiosa,19.30180924,76.50126144,70,39.8,05_10,30.4,Good,Ward 2,Akshay Hake,Private,Good
46,2,W21709528410511-akK0O,Peepal Tree,Ficus religiosa,19.30171589,76.50145154,49,27.8,05_10,21.3,Good,Ward 2,Akshay Hake,Private,Good
47,2,W21709528412752-akK0O,Peepal Tree,Ficus religiosa,19.30152857,76.50147803,48,27.3,05_10,20.9,Good,Ward 2,Akshay Hake,Private,Good
48,2,W21709528415758-akK0O,Peepal Tree,Ficus religiosa,19.30160388,76.50150351,39,22.2,05_10,17.0,Good,Ward 2,Akshay Hake,Private,Good
49,2,W21709528418424-akK0O,Peepal Tree,Ficus religiosa,19.30150768,76.50120679,50,28.4,05_10,21.7,Good,Ward 2,Akshay Hake,Private,Good
50,2,W21709528418843-akK0O,Peepal Tree,Ficus religiosa,19.30147446,76.50132682,66,37.5,05_10,28.7,Good,Ward 2,Akshay Hake,Private,Good
51,2,W21709528419369-akK0O,Peepal Tree,Ficus religiosa,19.30152097,76.50135163,53,30.1,05_10,23.0,Good,Ward 2,Akshay Hake,Private,Good
52,2,W21709528454774-akK0O,Rain Tree,Samanea saman,19.30175007,76.50125071,61,34.7,05_10,26.5,Good,Ward 2,Akshay Hake,Private,Good
53,2,W21709528466570-akK0O,Indian-almond Tree,Terminalia catappa,19.30171399,76.50140058,49,27.8,05_10,21.3,Good,Ward 2,Akshay Hake,Private,Good
54,2,W21709528467078-akK0O,Indian-almond Tree,Terminalia catappa,19.30183487,76.50146529,55,31.3,05_10,23.9,Good,Ward 2,Akshay Hake,Private,Good
55,2,W21709528503705-akK0O,Neem Tree,Azadirachta indica,19.30216111,76.50112364,48,27.3,10_50,20.9,Good,Ward 2,Akshay Hake,Private,Good
56,2,W21709528504156-akK0O,Neem Tree,Azadirachta indica,19.30223547,76.50110688,22,12.5,10_50,9.6,Good,Ward 2,Akshay Hake,Private,Good
57,2,W21709528504613-akK0O,Neem Tree,Azadirachta indica,19.30230161,76.50120579,23,13.1,10_50,10.0,Good,Ward 2,Akshay Hake,Private,Good
58,2,W21709528505805-akK0O,Neem Tree,Azadirachta indica,19.30230192,76.50101401,26,14.8,10_50,11.3,Good,Ward 2,Akshay Hake,Private,Good
59,2,W21709528507373-akK0O,Neem Tree,Azadirachta indica,19.30238767,76.50104988,28,15.9,10_50,12.2,Good,Ward 2,Akshay Hake,Private,Good
60,2,W21709528507894-akK0O,Neem Tree,Azadirachta indica,19.30233293,76.50106363,65,36.9,10_50,28.3,Good,Ward 2,Akshay Hake,Private,Good
61,2,W21709528508370-akK0O,Neem Tree,Azadirachta indica,19.30236141,76.5009845,70,39.8,10_50,30.4,Good,Ward 2,Akshay Hake,Private,Good
62,2,W21709528509934-akK0O,Neem Tree,Azadirachta indica,19.30241742,76.5011679,49,27.8,10_50,21.3,Good,Ward 2,Akshay Hake,Private,Good
63,2,W21709528510591-akK0O,Neem Tree,Azadirachta indica,19.30236521,76.50115348,48,27.3,10_50,20.9,Good,Ward 2,Akshay Hake,Private,Good
64,2,W21709528511909-akK0O,Neem Tree,Azadirachta indica,19.30243514,76.50094628,39,22.2,10_50,17.0,Good,Ward 2,Akshay Hake,Private,Good
65,2,W21709528512568-akK0O,Neem Tree,Azadirachta indica,19.30233293,76.50097344,50,28.4,10_50,21.7,Good,Ward 2,Akshay Hake,Private,Good
66,2,W21709528518641-akK0O,Neem Tree,Azadirachta indica,19.30234211,76.50100932,66,37.5,10_50,28.7,Good,Ward 2,Akshay Hake,Private,Good
67,2,W21709528520255-akK0O,Neem Tree,Azadirachta indica,19.30236616,76.50106966,53,30.1,10_50,23.0,Good,Ward 2,Akshay Hake,Private,Good
68,2,W21709528521644-akK0O,Neem Tree,Azadirachta indica,19.30240951,76.50099993,61,34.7,10_50,26.5,Good,Ward 2,Akshay Hake,Private,Good
69,2,W21709528523831-akK0O,Neem Tree,Azadirachta indica,19.30238578,76.50120176,49,27.8,10_50,21.3,Good,Ward 2,Akshay Hake,Private,Good
70,2,W21709528653262-akK0O,Indian-almond Tree,Terminalia catappa,19.30155483,76.50149077,55,31.3,10_50,23.9,Good,Ward 2,Akshay Hake,Private,Good
71,2,W21709528663041-akK0O,Netted custard apple,Annona reticulata,19.3015697,76.50144953,48,27.3,10_50,20.9,Good,Ward 2,Akshay Hake,Private,Good
72,2,W21709528680979-akK0O,Coconut Tree,Cocos nucifera,19.30130137,76.50132012,22,12.5,10_50,9.6,Good,Ward 2,Akshay Hake,Private,Good
73,2,W21709528691213-akK0O,Indian-almond Tree,Terminalia catappa,19.30134314,76.50128592,23,13.1,10_50,10.0,Good,Ward 2,Akshay Hake,Private,Good
74,2,W21709528692371-akK0O,Indian-almond Tree,Terminalia catappa,19.30138396,76.50126144,26,14.8,10_50,11.3,Good,Ward 2,Akshay Hake,Private,Good
75,2,W21709528796964-akK0O,Mango Tree,Mangifera indica,19.30160672,76.50178682,28,15.9,10_50,12.2,Good,Ward 2,Akshay Hake,Private,Good
76,2,W21709528811528-akK0O,Jamun tree,Syzygium cumini,19.30152825,76.50185119,61,34.7,10_50,26.5,Good,Ward 2,Akshay Hake,Private,Good
77,2,W21709528813806-akK0O,Jamun tree,Syzygium cumini,19.30149629,76.50174491,52,29.5,10_50,22.6,Good,Ward 2,Akshay Hake,Private,Good
78,2,W21709528883737-akK0O,Subabul Tree,Leucaena leucocephala,19.30145927,76.50176939,59,33.5,10_50,25.7,Good,Ward 2,Akshay Hake,Private,Good
79,2,W21709528885297-akK0O,Subabul Tree,Leucaena leucocephala,19.30145389,76.50174323,53,30.1,10_50,23.0,Good,Ward 2,Akshay Hake,Private,Good
80,2,W21709528904393-akK0O,Karanja tree,Milletia Pinnata,19.30127131,76.50162891,54,30.7,10_50,23.5,Good,Ward 2,Akshay Hake,Private,Good
81,2,W21709528905941-akK0O,Karanja tree,Milletia Pinnata,19.30139218,76.50175866,57,32.4,10_50,24.8,Good,Ward 2,Akshay Hake,Private,Good
82,2,W21709528911276-akK0O,Karanja tree,Milletia Pinnata,19.30135643,76.50147803,53,30.1,10_50,23.0,Good,Ward 2,Akshay Hake,Private,Good
83,2,W21709528913797-akK0O,Karanja tree,Milletia Pinnata,19.30162698,76.50148071,29,16.5,10_50,12.6,Good,Ward 2,Akshay Hake,Private,Good
84,2,W21709528914130-akK0O,Karanja tree,Milletia Pinnata,19.30161495,76.50136504,52,29.5,10_50,22.6,Good,Ward 2,Akshay Hake,Private,Good
85,2,W21709528916133-akK0O,Karanja tree,Milletia Pinnata,19.30170893,76.50135498,48,27.3,10_50,20.9,Good,Ward 2,Akshay Hake,Private,Good
86,2,W21709528920103-akK0O,Karanja tree,Milletia Pinnata,19.30193866,76.50145322,35,19.9,10_50,15.2,Good,Ward 2,Akshay Hake,Private,Good
87,2,W21709528923419-akK0O,Karanja tree,Milletia Pinnata,19.30177918,76.50159739,28,15.9,10_50,12.2,Good,Ward 2,Akshay Hake,Private,Good
88,2,W21709528923878-akK0O,Karanja tree,Milletia Pinnata,19.30179152,76.50173049,62,35.2,10_50,27.0,Good,Ward 2,Akshay Hake,Private,Good
89,2,W21709528948295-akK0O,Indian-almond Tree,Terminalia catappa,19.30137763,76.50191322,34,19.3,10_50,14.8,Good,Ward 2,Akshay Hake,Private,Good
90,2,W21709528949145-akK0O,Indian-almond Tree,Terminalia catappa,19.30126435,76.50192428,21,11.9,10_50,9.1,Good,Ward 2,Akshay Hake,Private,Good
91,2,W21709528978614-akK0O,Neem Tree,Azadirachta indica,19.30107544,76.50155716,25,14.2,10_50,10.9,Good,Ward 2,Akshay Hake,Private,Good
92,2,W21709528978918-akK0O,Neem Tree,Azadirachta indica,19.30110645,76.50149077,35,19.9,10_50,15.2,Good,Ward 2,Akshay Hake,Private,Good
93,2,W21709528979436-akK0O,Neem Tree,Azadirachta indica,19.30110265,76.50142238,38,21.6,10_50,16.5,Good,Ward 2,Akshay Hake,Private,Good
94,2,W21709528979960-akK0O,Neem Tree,Azadirachta indica,19.30106974,76.5013627,62,35.2,10_50,27.0,Good,Ward 2,Akshay Hake,Private,Good
95,2,W21709528980304-akK0O,Neem Tree,Azadirachta indica,19.30102449,76.50132883,53,30.1,10_50,23.0,Good,Ward 2,Akshay Hake,Private,Good
96,2,W21709528980881-akK0O,Neem Tree,Azadirachta indica,19.30099316,76.50128391,24,13.6,10_50,10.4,Good,Ward 2,Akshay Hake,Private,Good
97,2,W21709528985800-akK0O,Neem Tree,Azadirachta indica,19.3011441,76.50156017,65,36.9,10_50,28.3,Good,Ward 2,Akshay Hake,Private,Good
98,2,W21709529040470-akK0O,Tutu Tree,Coriaria arborea,19.30109031,76.50157627,55,31.3,10_50,23.9,Good,Ward 2,Akshay Hake,Private,Good
99,2,W21709529042653-akK0O,Tutu Tree,Coriaria arborea,19.30101626,76.5017087,65,36.9,10_50,28.3,Good,Ward 2,Akshay Hake,Private,Good
100,2,W21709529043020-akK0O,Tutu Tree,Coriaria arborea,19.30100835,76.50160644,70,39.8,10_50,30.4,Good,Ward 2,Akshay Hake,Private,Good
101,2,W21709529045561-akK0O,Tutu Tree,Coriaria arborea,19.30111309,76.5018009,49,27.8,10_50,21.3,Good,Ward 2,Akshay Hake,Private,Good
102,2,W21709529056980-akK0O,Neem Tree,Azadirachta indica,19.30092861,76.50162019,48,27.3,10_50,20.9,Good,Ward 2,Akshay Hake,Private,Good
103,2,W21709529058767-akK0O,Neem Tree,Azadirachta indica,19.30097449,76.50157727,39,22.2,10_50,17.0,Good,Ward 2,Akshay Hake,Private,Good
104,2,W21709529059742-akK0O,Neem Tree,Azadirachta indica,19.30085647,76.50161751,50,28.4,10_50,21.7,Good,Ward 2,Akshay Hake,Private,Good
105,2,W21709529060295-akK0O,Neem Tree,Azadirachta indica,19.30088843,76.5016963,66,37.5,10_50,28.7,Good,Ward 2,Akshay Hake,Private,Good
106,2,W21709529060796-akK0O,Neem Tree,Azadirachta indica,19.30084001,76.5016963,53,30.1,10_50,23.0,Good,Ward 2,Akshay Hake,Private,Good
107,2,W21709529161146-akK0O,Neem Tree,Azadirachta indica,19.30100582,76.50180761,61,34.7,10_50,26.5,Good,Ward 2,Akshay Hake,Private,Good
108,2,W21709529163118-akK0O,Neem Tree,Azadirachta indica,19.30110708,76.50183342,49,27.8,10_50,21.3,Good,Ward 2,Akshay Hake,Private,Good
109,2,W21709529163659-akK0O,Neem Tree,Azadirachta indica,19.3010631,76.5018703,55,31.3,10_50,23.9,Good,Ward 2,Akshay Hake,Private,Good
110,2,W21709529173219-akK0O,Subabul Tree,Leucaena leucocephala,19.30099886,76.50188204,48,27.3,10_50,20.9,Good,Ward 2,Akshay Hake,Private,Good
111,2,W21709529173562-akK0O,Subabul Tree,Leucaena leucocephala,19.30097608,76.50182605,22,12.5,10_50,9.6,Good,Ward 2,Akshay Hake,Private,Good
112,2,W21709529174457-akK0O,Subabul Tree,Leucaena leucocephala,19.30108271,76.50180694,23,13.1,10_50,10.0,Good,Ward 2,Akshay Hake,Private,Good
113,2,W21709529176919-akK0O,Subabul Tree,Leucaena leucocephala,19.30107322,76.50183376,26,14.8,10_50,11.3,Good,Ward 2,Akshay Hake,Private,Good
114,2,W21709529183013-akK0O,Subabul Tree,Leucaena leucocephala,19.30132763,76.50194775,28,15.9,10_50,12.2,Good,Ward 2,Akshay Hake,Private,Good
115,2,W21709529186426-akK0O,Subabul Tree,Leucaena leucocephala,19.30129282,76.50195111,61,34.7,10_50,26.5,Good,Ward 2,Akshay Hake,Private,Good
116,2,W21709529187455-akK0O,Subabul Tree,Leucaena leucocephala,19.30124061,76.50194172,65,36.9,10_50,28.3,Good,Ward 2,Akshay Hake,Private,Good
117,2,W21709529191976-akK0O,Subabul Tree,Leucaena leucocephala,19.30161242,76.50185321,70,39.8,10_50,30.4,Good,Ward 2,Akshay Hake,Private,Good
118,2,W21709529193741-akK0O,Subabul Tree,Leucaena leucocephala,19.30162476,76.50197189,49,27.8,10_50,21.3,Good,Ward 2,Akshay Hake,Private,Good
119,2,W21709529194715-akK0O,Subabul Tree,Leucaena leucocephala,19.3014868,76.5020356,48,27.3,10_50,20.9,Good,Ward 2,Akshay Hake,Private,Good
120,2,W21709529195210-akK0O,Subabul Tree,Leucaena leucocephala,19.30155641,76.50206141,39,22.2,10_50,17.0,Good,Ward 2,Akshay Hake,Private,Good
121,2,W21709529196757-akK0O,Subabul Tree,Leucaena leucocephala,19.30180513,76.50194038,50,28.4,10_50,21.7,Good,Ward 2,Akshay Hake,Private,Good
122,2,W21709529198682-akK0O,Subabul Tree,Leucaena leucocephala,19.30177032,76.50197122,66,37.5,10_50,28.7,Good,Ward 2,Akshay Hake,Private,Good
123,2,W21709529208317-akK0O,Indian-almond Tree,Terminalia catappa,19.30169248,76.50206979,53,30.1,10_50,23.0,Good,Ward 2,Akshay Hake,Private,Good
124,2,W21709529214470-akK0O,Indian-almond Tree,Terminalia catappa,19.30105487,76.50180057,61,34.7,10_50,26.5,Good,Ward 2,Akshay Hake,Private,Good
125,2,W21709529215221-akK0O,Indian-almond Tree,Terminalia catappa,19.30111404,76.50175866,49,27.8,10_50,21.3,Good,Ward 2,Akshay Hake,Private,Good
126,2,W21709529216050-akK0O,Indian-almond Tree,Terminalia catappa,19.30111404,76.50186259,55,31.3,10_50,23.9,Good,Ward 2,Akshay Hake,Private,Good
127,2,W21709529218123-akK0O,Indian-almond Tree,Terminalia catappa,19.30104696,76.50182772,48,27.3,10_50,20.9,Good,Ward 2,Akshay Hake,Private,Good
128,2,W21709529223329-akK0O,Indian-almond Tree,Terminalia catappa,19.30163014,76.50201112,22,12.5,10_50,9.6,Good,Ward 2,Akshay Hake,Private,Good
129,2,W21709529224820-akK0O,Indian-almond Tree,Terminalia catappa,19.30182791,76.50197793,23,13.1,10_50,10.0,Good,Ward 2,Akshay Hake,Private,Good
130,2,W21709529226139-akK0O,Indian-almond Tree,Terminalia catappa,19.30178266,76.50192395,26,14.8,10_50,11.3,Good,Ward 2,Akshay Hake,Private,Good
131,2,W21709529231918-akK0O,Indian-almond Tree,Terminalia catappa,19.3018662,76.50209561,28,15.9,10_50,12.2,Good,Ward 2,Akshay Hake,Private,Good
132,2,W21709529263743-akK0O,Neem Tree,Azadirachta indica,19.30171779,76.50201548,61,34.7,10_50,26.5,Good,Ward 2,Akshay Hake,Private,Good
133,2,W21709529264181-akK0O,Neem Tree,Azadirachta indica,19.30162951,76.50208119,52,29.5,10_50,22.6,Good,Ward 2,Akshay Hake,Private,Good
134,2,W21709529264705-akK0O,Neem Tree,Azadirachta indica,19.30175133,76.50209796,59,33.5,10_50,25.7,Good,Ward 2,Akshay Hake,Private,Good
135,2,W21709529265142-akK0O,Neem Tree,Azadirachta indica,19.30183455,76.50208455,53,30.1,10_50,23.0,Good,Ward 2,Akshay Hake,Private,Good
136,2,W21709529267316-akK0O,Neem Tree,Azadirachta indica,19.30185133,76.50220089,54,30.7,10_50,23.5,Good,Ward 2,Akshay Hake,Private,Good
137,2,W21709529269097-akK0O,Neem Tree,Azadirachta indica,19.30201492,76.50204599,57,32.4,10_50,24.8,Good,Ward 2,Akshay Hake,Private,Good
138,2,W21709529271336-akK0O,Neem Tree,Azadirachta indica,19.30195986,76.50191423,53,30.1,10_50,23.0,Good,Ward 2,Akshay Hake,Private,Good
139,2,W21709529272720-akK0O,Neem Tree,Azadirachta indica,19.30203454,76.50184147,29,16.5,10_50,12.6,Good,Ward 2,Akshay Hake,Private,Good
140,2,W21709529273137-akK0O,Neem Tree,Azadirachta indica,19.30215035,76.50186561,52,29.5,10_50,22.6,Good,Ward 2,Akshay Hake,Private,Good
141,2,W21709529279637-akK0O,Neem Tree,Azadirachta indica,19.30191746,76.50191791,48,27.3,10_50,20.9,Good,Ward 2,Akshay Hake,Private,Good
142,2,W21709529281304-akK0O,Neem Tree,Azadirachta indica,19.30173488,76.50211975,35,19.9,10_50,15.2,Good,Ward 2,Akshay Hake,Private,Good
143,2,W21709529282079-akK0O,Neem Tree,Azadirachta indica,19.30168931,76.50203057,28,15.9,10_50,12.2,Good,Ward 2,Akshay Hake,Private,Good
144,2,W21709529282479-akK0O,Neem Tree,Azadirachta indica,19.30163362,76.50210835,62,35.2,10_50,27.0,Good,Ward 2,Akshay Hake,Private,Good
145,2,W21709529284145-akK0O,Neem Tree,Azadirachta indica,19.30159343,76.50210299,34,19.3,10_50,14.8,Good,Ward 2,Akshay Hake,Private,Good
146,2,W21709529286055-akK0O,Neem Tree,Azadirachta indica,19.30160198,76.50199704,21,11.9,10_50,9.1,Good,Ward 2,Akshay Hake,Private,Good
147,2,W21709529286625-akK0O,Neem Tree,Azadirachta indica,19.3016216,76.50204264,25,14.2,10_50,10.9,Good,Ward 2,Akshay Hake,Private,Good
148,2,W21709529288800-akK0O,Neem Tree,Azadirachta indica,19.30149471,76.50206309,35,19.9,10_50,15.2,Good,Ward 2,Akshay Hake,Private,Good
149,2,W21709529289463-akK0O,Neem Tree,Azadirachta indica,19.30156654,76.50208957,38,21.6,10_50,16.5,Good,Ward 2,Akshay Hake,Private,Good
150,2,W21709529301872-akK0O,Neem Tree,Azadirachta indica,19.30210827,76.50199972,62,35.2,10_50,27.0,Good,Ward 2,Akshay Hake,Private,Good
151,2,W21709529302428-akK0O,Neem Tree,Azadirachta indica,19.30227692,76.50193568,53,30.1,10_50,23.0,Good,Ward 2,Akshay Hake,Private,Good
152,2,W21709529303264-akK0O,Neem Tree,Azadirachta indica,19.30219149,76.50192261,24,13.6,10_50,10.4,Good,Ward 2,Akshay Hake,Private,Good
153,2,W21709529303814-akK0O,Neem Tree,Azadirachta indica,19.30229623,76.50206577,65,36.9,10_50,28.3,Good,Ward 2,Akshay Hake,Private,Good
154,2,W21709529304138-akK0O,Neem Tree,Azadirachta indica,19.30213073,76.50205839,55,31.3,10_50,23.9,Good,Ward 2,Akshay Hake,Private,Good
155,2,W21709529304710-akK0O,Neem Tree,Azadirachta indica,19.30208738,76.50213249,48,27.3,10_50,20.9,Good,Ward 2,Akshay Hake,Private,Good
156,2,W21709529305152-akK0O,Neem Tree,Azadirachta indica,19.30208137,76.50224581,49,27.8,10_50,21.3,Good,Ward 2,Akshay Hake,Private,Good
157,2,W21709529305591-akK0O,Neem Tree,Azadirachta indica,19.30200669,76.50213014,43,24.4,10_50,18.7,Good,Ward 2,Akshay Hake,Private,Good
158,2,W21709529306081-akK0O,Neem Tree,Azadirachta indica,19.30200321,76.50221832,47,26.7,10_50,20.4,Good,Ward 2,Akshay Hake,Private,Good
159,2,W21709529319997-akK0O,Babhul Tree,Vachellia nilotica,19.30089317,76.50197055,65,36.9,10_50,28.3,Good,Ward 2,Akshay Hake,Private,Good
160,2,W21709529320551-akK0O,Babhul Tree,Vachellia nilotica,19.30093431,76.50197256,70,39.8,10_50,30.4,Good,Ward 2,Akshay Hake,Private,Good
161,2,W21709529321134-akK0O,Babhul Tree,Vachellia nilotica,19.30091659,76.50200743,49,27.8,10_50,21.3,Good,Ward 2,Akshay Hake,Private,Good
162,2,W21709529321837-akK0O,Babhul Tree,Vachellia nilotica,19.30094697,76.50199737,48,27.3,10_50,20.9,Good,Ward 2,Akshay Hake,Private,Good
163,2,W21709529322458-akK0O,Babhul Tree,Vachellia nilotica,19.30098367,76.50199134,39,22.2,10_50,17.0,Good,Ward 2,Akshay Hake,Private,Good
164,2,W21709529323126-akK0O,Babhul Tree,Vachellia nilotica,19.30102576,76.50198095,50,28.4,10_50,21.7,Good,Ward 2,Akshay Hake,Private,Good
165,2,W21709529323745-akK0O,Babhul Tree,Vachellia nilotica,19.30098525,76.50201447,66,37.5,10_50,28.7,Good,Ward 2,Akshay Hake,Private,Good
166,2,W21709529324481-akK0O,Babhul Tree,Vachellia nilotica,19.30101658,76.5020071,53,30.1,10_50,23.0,Good,Ward 2,Akshay Hake,Private,Good
167,2,W21709529327619-akK0O,Babhul Tree,Vachellia nilotica,19.3011036,76.50195111,61,34.7,10_50,26.5,Good,Ward 2,Akshay Hake,Private,Good
168,2,W21709529328284-akK0O,Babhul Tree,Vachellia nilotica,19.30109126,76.50196418,49,27.8,10_50,21.3,Good,Ward 2,Akshay Hake,Private,Good
